iteration,loss
64,0.801385679648405
65,15.16831672417851
66,440.15334995991685
67,1476603.8489586639
68,5.211809689464e+27
69,2.5855396006825604e+174
70,7.717774422525437e+159
71,0.390625
72,0.390625
73,0.390625
74,0.390625
75,0.390625
76,0.390625
77,0.390625
78,0.390625
79,0.0
80,0.390625
81,0.0
82,0.390625
83,0.390625
84,0.390625
85,0.390625
86,0.390625
87,0.390625
88,0.390625
89,0.390625
90,0.0
91,0.0
92,0.0
93,0.0
94,0.390625
95,1.5625
96,1.5625
97,1.953125
98,1.953125
99,1.953125
100,0.390625
101,1.953125
102,1.5625
103,0.390625
104,1.953125
105,1.953125
106,0.0
107,0.390625
108,1.953125
109,1.5625
110,5.46875
111,3.90625
112,1.953125
113,3.515625
114,1.5625
115,5.46875
116,1.953125
117,3.90625
118,3.90625
119,1.953125
120,1.953125
121,5.078125
122,1.953125
123,5.46875
124,5.078125
125,3.515625
126,1.5625
127,1.5625
128,1.171875
129,5.2734375
130,4.296875
131,2.9296875
132,0.0
133,0.9765625
134,1.953125
135,16.796875
136,15.625
137,11.5234375
138,9.765625
139,3.515625
140,17.7734375
141,1.171875
142,7.03125
143,8.984375
144,3.3203125
145,16.6015625
146,17.578125
147,4.296875
148,9.765625
149,17.7734375
150,3.7109375
151,8.7890625
152,7.8125
153,9.1796875
154,8.984375
155,8.0078125
156,15.0390625
157,4.8828125
158,6.640625
159,0.9765625
160,15.234375
161,5.859375
162,6.25
163,9.5703125
164,9.765625
165,14.6484375
166,12.890625
167,10.7421875
168,8.0078125
169,12.6953125
170,12.890625
171,7.2265625
172,19.921875
173,0.0
174,5.859375
175,7.421875
176,16.015625
177,11.9140625
178,7.2265625
179,13.8671875
180,5.859375
181,10.9375
182,16.2109375
183,5.078125
184,13.8671875
185,2.5390625
186,12.890625
187,7.6171875
188,11.328125
189,3.3203125
190,1.5625
191,8.7890625
192,14.973958333333334
193,13.411458333333334
194,15.885416666666666
195,10.026041666666666
196,7.552083333333333
197,15.755208333333334
198,16.536458333333332
199,4.557291666666667
200,5.208333333333333
201,9.765625
202,22.005208333333332
203,8.854166666666666
204,6.510416666666667
205,14.973958333333334
206,1.6927083333333333
207,20.572916666666668
208,11.979166666666666
209,8.984375
210,10.677083333333334
211,8.59375
212,0.2604166666666667
213,15.234375
214,9.505208333333334
215,13.151041666666666
216,12.760416666666666
217,10.677083333333334
218,12.890625
219,9.765625
220,6.119791666666667
221,5.338541666666667
222,11.197916666666666
223,5.859375
224,8.854166666666666
225,14.453125
226,5.989583333333333
227,10.807291666666666
228,15.104166666666666
229,13.802083333333334
230,11.588541666666666
231,11.328125
232,14.84375
233,8.984375
234,7.03125
235,18.098958333333332
236,6.640625
237,7.942708333333333
238,4.947916666666667
239,13.151041666666666
240,10.546875
241,7.03125
242,19.140625
243,2.6041666666666665
244,5.338541666666667
245,2.0833333333333335
246,8.463541666666666
247,13.932291666666666
248,14.453125
249,9.244791666666666
250,5.989583333333333
251,10.026041666666666
252,13.151041666666666
253,3.7760416666666665
254,5.208333333333333
255,8.203125
256,15.13671875
257,9.9609375
258,0.9765625
259,9.375
260,3.7109375
261,11.81640625
262,8.203125
263,10.83984375
264,8.984375
265,5.2734375
266,6.54296875
267,4.98046875
268,10.15625
269,12.890625
270,8.984375
271,12.40234375
272,5.2734375
273,7.32421875
274,10.44921875
275,12.01171875
276,16.50390625
277,4.6875
278,5.95703125
279,8.10546875
280,9.86328125
281,7.421875
282,2.24609375
283,15.0390625
284,5.078125
285,15.8203125
286,10.64453125
287,3.41796875
288,10.9375
289,4.78515625
290,8.88671875
291,5.2734375
292,12.01171875
293,13.4765625
294,12.3046875
295,1.5625
296,5.95703125
297,17.96875
298,9.86328125
299,4.98046875
300,9.27734375
301,4.39453125
302,8.3984375
303,13.96484375
304,11.03515625
305,0.1953125
306,6.73828125
307,9.1796875
308,9.5703125
309,14.35546875
310,18.65234375
311,6.15234375
312,2.83203125
313,10.15625
314,16.69921875
315,5.078125
316,6.640625
317,8.203125
318,8.59375
319,4.39453125
320,6.484375
321,5.703125
322,11.09375
323,4.609375
324,5.46875
325,3.671875
326,10.78125
327,8.203125
328,10.859375
329,8.203125
330,7.578125
331,8.046875
332,7.03125
333,5.859375
334,11.953125
335,5.234375
336,2.734375
337,5.390625
338,3.828125
339,3.828125
340,16.015625
341,3.671875
342,11.953125
343,4.6875
344,0.3125
345,8.359375
346,1.71875
347,10.0
348,8.046875
349,9.765625
350,6.015625
351,8.90625
352,14.921875
353,10.078125
354,5.546875
355,8.125
356,13.984375
357,2.421875
358,2.734375
359,9.53125
360,4.84375
361,6.71875
362,2.1875
363,8.90625
364,5.390625
365,8.984375
366,2.65625
367,6.25
368,9.84375
369,7.109375
370,2.265625
371,5.703125
372,10.234375
373,6.40625
374,2.890625
375,5.078125
376,11.875
377,2.578125
378,5.703125
379,3.90625
380,8.046875
381,3.359375
382,9.140625
383,7.578125
384,1.4322916666666667
385,5.729166666666667
386,3.8411458333333335
387,3.515625
388,8.072916666666666
389,8.072916666666666
390,5.338541666666667
391,0.9114583333333334
392,6.315104166666667
393,10.807291666666666
394,1.7578125
395,1.6927083333333333
396,0.3255208333333333
397,4.4921875
398,6.705729166666667
399,4.231770833333333
400,2.2786458333333335
401,6.315104166666667
402,5.46875
403,8.7890625
404,6.380208333333333
405,6.315104166666667
406,5.403645833333333
407,6.119791666666667
408,8.3984375
409,9.440104166666666
410,10.9375
411,6.575520833333333
412,5.46875
413,6.575520833333333
414,0.5859375
415,5.143229166666667
416,1.7578125
417,8.333333333333334
418,4.1015625
419,3.7109375
420,3.7760416666666665
421,8.59375
422,0.9114583333333334
423,2.2786458333333335
424,2.7994791666666665
425,6.510416666666667
426,3.3203125
427,3.515625
428,0.78125
429,6.705729166666667
430,5.078125
431,8.658854166666666
432,3.3854166666666665
433,12.3046875
434,3.515625
435,2.9947916666666665
436,1.7578125
437,8.723958333333334
438,4.947916666666667
439,5.859375
440,8.072916666666666
441,4.361979166666667
442,5.208333333333333
443,1.1067708333333333
444,5.403645833333333
445,7.942708333333333
446,7.421875
447,4.4921875
448,4.241071428571429
449,3.125
450,4.966517857142857
451,1.7299107142857142
452,3.3482142857142856
453,5.580357142857143
454,3.794642857142857
455,2.7901785714285716
456,4.966517857142857
457,4.799107142857143
458,4.575892857142857
459,4.241071428571429
460,7.868303571428571
461,10.267857142857142
462,1.7299107142857142
463,6.696428571428571
464,5.636160714285714
465,2.7901785714285716
466,4.185267857142857
467,6.361607142857143
468,5.46875
469,3.627232142857143
470,6.863839285714286
471,1.5066964285714286
472,6.361607142857143
473,3.0691964285714284
474,2.1763392857142856
475,4.464285714285714
476,6.584821428571429
477,6.026785714285714
478,7.589285714285714
479,8.705357142857142
480,2.455357142857143
481,4.799107142857143
482,7.087053571428571
483,3.9620535714285716
484,7.924107142857143
485,4.408482142857143
486,4.910714285714286
487,2.5669642857142856
488,3.4598214285714284
489,5.747767857142857
490,5.133928571428571
491,6.975446428571429
492,4.408482142857143
493,6.417410714285714
494,3.9620535714285716
495,3.7388392857142856
496,3.1808035714285716
497,3.3482142857142856
498,4.408482142857143
499,8.314732142857142
500,7.03125
501,2.232142857142857
502,3.4598214285714284
503,2.064732142857143
504,5.970982142857143
505,4.520089285714286
506,7.087053571428571
507,6.529017857142857
508,4.743303571428571
509,3.4598214285714284
510,4.631696428571429
511,13.113839285714286
512,2.197265625
513,3.02734375
514,2.587890625
515,3.662109375
516,3.125
517,4.931640625
518,6.8359375
519,4.00390625
520,3.80859375
521,7.470703125
522,7.373046875
523,2.44140625
524,7.080078125
525,3.125
526,3.90625
527,6.201171875
528,5.37109375
529,6.689453125
530,4.1015625
531,2.9296875
532,2.83203125
533,8.935546875
534,6.8359375
535,3.80859375
536,2.1484375
537,5.712890625
538,6.4453125
539,6.8359375
540,2.197265625
541,6.34765625
542,6.005859375
543,2.734375
544,12.841796875
545,5.615234375
546,5.322265625
547,5.712890625
548,5.46875
549,6.396484375
550,2.880859375
551,2.83203125
552,4.345703125
553,8.7890625
554,7.8125
555,4.931640625
556,4.052734375
557,4.19921875
558,5.810546875
559,4.443359375
560,10.7421875
561,7.8125
562,9.86328125
563,4.00390625
564,1.708984375
565,7.8125
566,10.009765625
567,7.373046875
568,8.544921875
569,7.275390625
570,4.736328125
571,10.498046875
572,11.03515625
573,7.12890625
574,4.931640625
575,4.443359375
576,4.427083333333333
577,4.427083333333333
578,5.425347222222222
579,11.979166666666666
580,4.123263888888889
581,5.902777777777778
582,6.206597222222222
583,6.119791666666667
584,1.8663194444444444
585,4.947916666666667
586,3.8194444444444446
587,4.6875
588,5.685763888888889
589,3.0815972222222223
590,5.729166666666667
591,3.9496527777777777
592,5.902777777777778
593,5.121527777777778
594,3.515625
595,3.2552083333333335
596,5.164930555555555
597,5.685763888888889
598,8.246527777777779
599,3.9496527777777777
600,8.463541666666666
601,5.642361111111111
602,5.729166666666667
603,3.342013888888889
604,7.8125
605,8.072916666666666
606,5.729166666666667
607,6.944444444444445
608,1.7795138888888888
609,4.427083333333333
610,3.515625
611,3.4288194444444446
612,7.074652777777778
613,1.6493055555555556
614,5.338541666666667
615,3.8628472222222223
616,7.248263888888889
617,6.032986111111111
618,2.6909722222222223
619,2.4739583333333335
620,7.03125
621,6.901041666666667
622,6.076388888888889
623,3.2118055555555554
624,3.298611111111111
625,3.5590277777777777
626,5.425347222222222
627,7.508680555555555
628,6.032986111111111
629,8.072916666666666
630,8.81076388888889
631,11.024305555555555
632,4.079861111111111
633,4.6875
634,10.243055555555555
635,3.6024305555555554
636,6.857638888888889
637,3.732638888888889
638,6.206597222222222
639,5.902777777777778
640,5.3125
641,5.6640625
642,3.5546875
643,8.828125
644,5.815972222222222
645,4.4140625
646,2.9296875
647,1.328125
648,2.8211805555555554
649,4.6875
650,4.036458333333333
651,5.3125
652,4.0625
653,7.3046875
654,9.609375
655,6.4453125
656,5.8984375
657,2.8125
658,11.640625
659,6.015625
660,5.46875
661,6.171875
662,9.6484375
663,6.5234375
664,6.328125
665,4.765625
666,4.7265625
667,8.463541666666666
668,5.512152777777778
669,2.109375
670,3.984375
671,2.3046875
672,5.9765625
673,2.126736111111111
674,5.034722222222222
675,4.6875
676,6.3671875
677,6.015625
678,3.4765625
679,3.5546875
680,5.546875
681,5.946180555555555
682,5.7421875
683,6.206597222222222
684,6.40625
685,5.859375
686,3.515625
687,4.557291666666667
688,3.342013888888889
689,3.3854166666666665
690,8.046875
691,5.5078125
692,4.4140625
693,5.703125
694,8.203125
695,7.335069444444445
696,3.4765625
697,6.9140625
698,4.079861111111111
699,5.338541666666667
700,2.6909722222222223
701,5.8203125
702,5.121527777777778
703,6.171875
704,8.5546875
705,4.904513888888889
706,2.6041666666666665
707,8.072916666666666
708,4.971590909090909
709,6.875
710,4.296875
711,5.703125
712,5.1953125
713,6.782670454545454
714,1.3020833333333333
715,3.6024305555555554
716,4.079861111111111
717,5.815972222222222
718,7.291666666666667
719,5.642361111111111
720,4.3359375
721,4.21875
722,2.6953125
723,5.5859375
724,5.681818181818182
725,2.6475694444444446
726,2.578125
727,3.6458333333333335
728,4.190340909090909
729,4.1796875
730,3.984375
731,6.7578125
732,9.0234375
733,4.991319444444445
734,4.609375
735,3.3984375
736,4.166666666666667
737,2.237215909090909
738,2.1875
739,4.453125
740,1.3888888888888888
741,3.4288194444444446
742,4.9609375
743,3.053977272727273
744,4.545454545454546
745,2.2017045454545454
746,4.3678977272727275
747,2.9947916666666665
748,5.815972222222222
749,4.375
750,6.25
751,4.3359375
752,6.1328125
753,5.8203125
754,8.771306818181818
755,6.889204545454546
756,5.752840909090909
757,3.7642045454545454
758,5.291193181818182
759,1.3020833333333333
760,3.689236111111111
761,3.835227272727273
762,7.0703125
763,8.416193181818182
764,4.210069444444445
765,1.1284722222222223
766,3.977272727272727
767,3.8194444444444446
768,1.796875
769,2.9474431818181817
770,1.5269886363636365
771,4.470486111111111
772,1.953125
773,1.3671875
774,4.817708333333333
775,5.5397727272727275
776,7.109375
777,5.0071022727272725
778,6.1789772727272725
779,4.5703125
780,3.622159090909091
781,6.676136363636363
782,5.78125
783,4.921875
784,4.6484375
785,8.723958333333334
786,2.6988636363636362
787,6.727430555555555
788,2.34375
