game,iteration,loss,reward,lives_left
1,81,0.000687470602251086,0.0,3
1,82,0.0006860084131479336,0.0,3
1,85,0.0006846990943882347,0.0,3
1,86,0.0006830140870929836,0.0,3
1,87,0.0006817052664736333,0.0,3
1,88,0.0006782005462159882,0.0,3
1,90,0.0006769370640358634,0.0,3
1,91,0.0006770496580653275,0.0,3
1,92,0.0006758447025474405,0.0,3
1,93,0.0006744539666929667,0.0,3
1,94,0.0006719919373155205,0.0,3
1,95,0.0006688352909459743,0.0,3
1,96,0.0006667794437612058,0.0,3
1,97,0.0006630795788739587,0.0,3
1,98,0.0006592768659332066,0.0,3
1,99,0.0006591720661176249,0.0,3
1,100,0.0006593709450357848,0.0,3
1,101,0.0006560132120181674,0.0,3
1,102,0.0006525533532066771,0.0,3
1,103,0.0006506836236684248,0.0,3
1,104,0.0006469170815444777,0.0,3
1,105,0.0006465930859606686,0.0,3
1,106,0.0006438476970058713,0.0,3
1,107,0.0006457255354734545,0.0,3
1,108,0.0006410797274365689,0.0,3
1,109,0.0006426246140091941,0.0,3
1,111,0.0006368449631687442,0.0,3
1,113,0.0006391361243542776,0.0,3
1,114,0.0006381808523709414,0.0,3
1,115,0.000634957384639983,0.0,3
1,117,0.0006353755912175747,0.0,3
1,120,0.0006366246882726421,0.0,3
1,121,0.0006306307233997296,0.0,3
1,122,0.0006291590382215379,0.0,3
1,123,0.0006259073726563593,0.0,3
1,125,0.0006307439993540006,0.0,3
1,126,0.0006305611581359669,0.0,3
1,127,0.0006252250851145099,0.0,3
1,128,0.0006251618546422621,0.0,3
1,129,0.0006234446856504475,0.0,3
1,130,0.0006223303699640263,0.0,3
1,131,0.000619443706061417,0.0,3
1,132,0.0006198148821049942,0.0,3
1,134,0.000616572071255334,0.0,3
1,138,0.0006195126516929267,0.0,3
1,139,0.0006141609047818359,0.0,3
1,140,0.0006158113923561214,0.0,3
1,141,0.0006170601571840387,0.0,3
1,142,0.0006176755657645355,0.0,3
1,143,0.0006194103837223194,0.0,3
1,145,0.000613743062889461,0.0,3
1,146,0.0006157367377525375,0.0,3
1,147,0.0006139528564159636,0.0,3
1,149,0.0006191049525765181,0.0,3
1,150,0.3937369391622905,0.0,3
1,151,0.0006332433952801517,0.0,3
1,152,0.3937817312894134,0.0,3
1,153,0.0006410266822162759,0.0,3
1,154,0.39382512923585433,0.0,3
1,155,0.39388205601493925,0.0,3
1,156,1.5683813871483896,0.0,3
1,157,1.961848189392392,10.0,3
1,158,0.0007587370177287684,0.0,3
1,159,0.0007578338456326533,0.0,3
1,160,0.3941134262440059,0.0,3
1,161,0.1975162868763012,0.0,3
1,163,0.0008111559344211346,0.0,3
1,164,0.9816150955211519,0.0,3
1,165,0.981756590406099,0.0,3
1,166,1.569343308980412,10.0,3
1,167,0.1978616718052558,0.0,3
1,169,0.7854428619631446,0.0,3
1,171,3.331807072116744,0.0,3
1,172,4.507127357557884,0.0,3
1,173,0.9834336631251377,0.0,3
1,174,3.531299341757471,0.0,3
1,175,4.313243121451995,0.0,3
1,177,4.511728487428079,0.0,3
1,178,2.161310825091955,0.0,3
1,179,0.39743975522029396,0.0,3
1,180,0.985924125737999,0.0,3
1,182,2.7505581934719516,0.0,3
1,183,1.9654026235999376,0.0,3
1,184,0.986857740734158,0.0,3
1,188,2.5543639674786816,0.0,3
1,189,3.7367925532910955,0.0,3
1,190,0.7902772196090952,0.0,3
1,191,2.5561573240950204,0.0,3
1,192,1.770014270425561,0.0,3
1,193,3.5362526502608658,0.0,3
1,194,1.96916167848367,0.0,3
1,195,2.558613400241739,0.0,3
1,196,1.7778971801818266,0.0,3
1,197,3.7375943537833827,0.0,3
1,198,1.7795438475846004,10.0,3
1,199,0.9924655629962135,0.0,3
1,200,0.005873057674314067,0.0,3
1,201,2.760538768297087,0.0,3
1,202,3.7482143088299886,0.0,3
1,203,2.763368374656739,0.0,2
1,204,0.7963622082340968,0.0,2
1,205,3.354553355080458,0.0,2
1,206,0.9967877607380935,0.0,2
1,207,3.746868987899921,0.0,2
1,208,2.768018197944502,0.0,2
1,209,2.570358619755369,0.0,2
1,210,0.40957132431115906,0.0,2
1,211,2.5718523430502636,0.0,2
1,213,1.7825509172957938,0.0,2
1,214,2.1826527639326487,0.0,2
1,215,0.8028412625969562,0.0,2
1,218,2.575085065964892,0.0,2
1,219,1.004414379212293,0.0,2
1,221,4.7487681366951655,0.0,2
1,222,1.207578514660497,0.0,2
1,224,1.789732496844047,0.0,2
1,225,1.9910453629744715,0.0,2
1,227,0.01693517903679602,0.0,2
1,228,1.9916339618631083,15.0,2
1,229,1.7925920363856809,0.0,2
1,231,2.1946684372622114,0.0,2
1,232,0.8127284461473396,0.0,2
1,233,1.0140025666658044,0.0,2
1,234,0.8138417779703441,0.0,2
1,235,1.7970138725211728,0.0,2
1,236,0.22299954621001203,0.0,2
1,237,2.200408865240809,0.0,2
1,238,0.022813804058227208,0.0,2
1,239,1.8698218002638407,0.0,2
1,240,0.5522110139061704,0.0,2
1,241,5.666148825976108,0.0,2
1,244,5.016359324779682,0.0,2
1,246,4.753019008767855,0.0,2
1,247,2.3975699001018134,0.0,2
1,248,3.4493737621496687,0.0,2
1,249,3.9838593585969484,0.0,2
1,250,2.0234669643749825,0.0,2
1,251,4.3864846771312225,0.0,2
1,252,9.486739625249882,20.0,2
1,253,6.276085287734344,0.0,2
1,254,4.234813812178621,0.0,2
1,255,2.5607502399045177,0.0,2
1,256,1.8113882285520218,0.0,2
1,257,4.064206798406506,0.0,2
1,259,5.360828706530465,0.0,2
1,260,2.6444853858877124,5.0,2
1,261,5.479949767823208,0.0,2
1,263,4.791674186945801,0.0,2
1,264,4.679390764635358,0.0,2
1,265,3.1240206635859593,0.0,2
1,266,6.341638427986713,0.0,2
1,267,4.332584791474713,0.0,2
1,269,2.3252473797235527,0.0,2
1,270,1.2531273514545944,0.0,2
1,271,8.610377057002948,0.0,2
1,274,3.9117795252952394,0.0,2
1,275,6.989229930340261,0.0,2
1,277,2.2247374848787183,0.0,2
1,278,3.8784761314503484,0.0,2
1,279,5.042803466724509,0.0,2
1,281,6.300705061755807,0.0,2
1,282,6.220958617573519,0.0,2
1,283,3.8827158326440254,0.0,2
1,286,3.7356914299316526,0.0,2
1,287,1.381073571954553,0.0,2
1,288,6.3836319698023365,0.0,2
